Channel,phi,Z
1,2,1
2,1,1
3,2,2
4,1,2
5,2,3
6,1,3
7,2,4
8,1,4
9,2,5
10,1,5
11,2,6
12,1,6
13,2,7
14,1,7
15,2,8
16,1,8
17,4,1
18,3,1
19,4,2
20,3,2
21,4,3
22,3,3
23,4,4
24,3,4
25,4,5
26,3,5
27,4,6
28,3,6
29,4,7
30,3,7
31,4,8
32,3,8
33,2,9
34,1,9
35,2,10
36,1,10
37,2,11
38,1,11
39,2,12
40,1,12
41,2,13
42,1,13
43,2,14
44,1,14
45,2,15
46,1,15
47,2,16
48,1,16
49,4,9
50,3,9
51,4,10
52,3,10
53,4,11
54,3,11
55,4,12
56,3,12
57,4,13
58,3,13
59,4,14
60,3,14
61,4,15
62,3,15
63,4,16
64,3,16
65,2,17
66,1,17
67,2,18
68,1,18
69,2,19
70,1,19
71,2,20
72,1,20
73,2,21
74,1,21
75,2,22
76,1,22
77,2,23
78,1,23
79,2,24
80,1,24
81,4,17
82,3,17
83,4,18
84,3,18
85,4,19
86,3,19
87,4,20
88,3,20
89,4,21
90,3,21
91,4,22
92,3,22
93,4,23
94,3,23
95,4,24
96,3,24
97,2,25
98,1,25
99,2,26
100,1,26
101,2,27
102,1,27
103,2,28
104,1,28
105,2,29
106,1,29
107,2,30
108,1,30
109,2,31
110,1,31
111,2,32
112,1,32
113,4,25
114,3,25
115,4,26
116,3,26
117,4,27
118,3,27
119,4,28
120,3,28
121,4,29
122,3,29
123,4,30
124,3,30
125,4,31
126,3,31
127,4,32
128,3,32
129,2,33
130,1,33
131,2,34
132,1,34
133,2,35
134,1,35
135,2,36
136,1,36
137,2,37
138,1,37
139,2,38
140,1,38
141,2,39
142,1,39
143,2,40
144,1,40
145,4,33
146,3,33
147,4,34
148,3,34
149,4,35
150,3,35
151,4,36
152,3,36
153,4,37
154,3,37
155,4,38
156,3,38
157,4,39
158,3,39
159,4,40
160,3,40
161,2,41
162,1,41
163,2,42
164,1,42
165,2,43
166,1,43
167,2,44
168,1,44
169,2,45
170,1,45
171,2,46
172,1,46
173,2,47
174,1,47
175,2,48
176,1,48
177,4,41
178,3,41
179,4,42
180,3,42
181,4,43
182,3,43
183,4,44
184,3,44
185,4,45
186,3,45
187,4,46
188,3,46
189,4,47
190,3,47
191,4,48
192,3,48
193,2,49
194,1,49
195,2,50
196,1,50
197,2,51
198,1,51
199,2,52
200,1,52
201,2,53
202,1,53
203,2,54
204,1,54
205,2,55
206,1,55
207,2,56
208,1,56
209,4,49
210,3,49
211,4,50
212,3,50
213,4,51
214,3,51
215,4,52
216,3,52
217,4,53
218,3,53
219,4,54
220,3,54
221,4,55
222,3,55
223,4,56
224,3,56
225,2,57
226,1,57
227,2,58
228,1,58
229,2,59
230,1,59
231,2,60
232,1,60
233,2,61
234,1,61
235,2,62
236,1,62
237,2,63
238,1,63
239,2,64
240,1,64
241,4,57
242,3,57
243,4,58
244,3,58
245,4,59
246,3,59
247,4,60
248,3,60
249,4,61
250,3,61
251,4,62
252,3,62
253,4,63
254,3,63
255,4,64
256,3,64
257,6,1
258,5,1
259,6,2
260,5,2
261,6,3
262,5,3
263,6,4
264,5,4
265,6,5
266,5,5
267,6,6
268,5,6
269,6,7
270,5,7
271,6,8
272,5,8
273,8,1
274,7,1
275,8,2
276,7,2
277,8,3
278,7,3
279,8,4
280,7,4
281,8,5
282,7,5
283,8,6
284,7,6
285,8,7
286,7,7
287,8,8
288,7,8
289,6,9
290,5,9
291,6,10
292,5,10
293,6,11
294,5,11
295,6,12
296,5,12
297,6,13
298,5,13
299,6,14
300,5,14
301,6,15
302,5,15
303,6,16
304,5,16
305,8,9
306,7,9
307,8,10
308,7,10
309,8,11
310,7,11
311,8,12
312,7,12
313,8,13
314,7,13
315,8,14
316,7,14
317,8,15
318,7,15
319,8,16
320,7,16
321,6,17
322,5,17
323,6,18
324,5,18
325,6,19
326,5,19
327,6,20
328,5,20
329,6,21
330,5,21
331,6,22
332,5,22
333,6,23
334,5,23
335,6,24
336,5,24
337,8,17
338,7,17
339,8,18
340,7,18
341,8,19
342,7,19
343,8,20
344,7,20
345,8,21
346,7,21
347,8,22
348,7,22
349,8,23
350,7,23
351,8,24
352,7,24
353,6,25
354,5,25
355,6,26
356,5,26
357,6,27
358,5,27
359,6,28
360,5,28
361,6,29
362,5,29
363,6,30
364,5,30
365,6,31
366,5,31
367,6,32
368,5,32
369,8,25
370,7,25
371,8,26
372,7,26
373,8,27
374,7,27
375,8,28
376,7,28
377,8,29
378,7,29
379,8,30
380,7,30
381,8,31
382,7,31
383,8,32
384,7,32
385,6,33
386,5,33
387,6,34
388,5,34
389,6,35
390,5,35
391,6,36
392,5,36
393,6,37
394,5,37
395,6,38
396,5,38
397,6,39
398,5,39
399,6,40
400,5,40
401,8,33
402,7,33
403,8,34
404,7,34
405,8,35
406,7,35
407,8,36
408,7,36
409,8,37
410,7,37
411,8,38
412,7,38
413,8,39
414,7,39
415,8,40
416,7,40
417,6,41
418,5,41
419,6,42
420,5,42
421,6,43
422,5,43
423,6,44
424,5,44
425,6,45
426,5,45
427,6,46
428,5,46
429,6,47
430,5,47
431,6,48
432,5,48
433,8,41
434,7,41
435,8,42
436,7,42
437,8,43
438,7,43
439,8,44
440,7,44
441,8,45
442,7,45
443,8,46
444,7,46
445,8,47
446,7,47
447,8,48
448,7,48
449,6,49
450,5,49
451,6,50
452,5,50
453,6,51
454,5,51
455,6,52
456,5,52
457,6,53
458,5,53
459,6,54
460,5,54
461,6,55
462,5,55
463,6,56
464,5,56
465,8,49
466,7,49
467,8,50
468,7,50
469,8,51
470,7,51
471,8,52
472,7,52
473,8,53
474,7,53
475,8,54
476,7,54
477,8,55
478,7,55
479,8,56
480,7,56
481,6,57
482,5,57
483,6,58
484,5,58
485,6,59
486,5,59
487,6,60
488,5,60
489,6,61
490,5,61
491,6,62
492,5,62
493,6,63
494,5,63
495,6,64
496,5,64
497,8,57
498,7,57
499,8,58
500,7,58
501,8,59
502,7,59
503,8,60
504,7,60
505,8,61
506,7,61
507,8,62
508,7,62
509,8,63
510,7,63
511,8,64
512,7,64
513,10,1
514,9,1
515,10,2
516,9,2
517,10,3
518,9,3
519,10,4
520,9,4
521,10,5
522,9,5
523,10,6
524,9,6
525,10,7
526,9,7
527,10,8
528,9,8
529,12,1
530,11,1
531,12,2
532,11,2
533,12,3
534,11,3
